"","SRR1166442_Aligned.sortedByCoord.out.bam","SRR1166443_Aligned.sortedByCoord.out.bam","SRR1166444_Aligned.sortedByCoord.out.bam","SRR1166445_Aligned.sortedByCoord.out.bam","SRR1166446_Aligned.sortedByCoord.out.bam","SRR1166447_Aligned.sortedByCoord.out.bam"
"YKL103C",13206.0400887861,12371.2183463587,11933.4707950294,7888.50516978268,8861.94713079948,7647.12971606829
"YKL102C",44.88531432571,42.3128459901109,53.3453611723778,28.73931006876,31.7963380850444,26.2317648724192
"YKL101W",2990.72800887611,3023.60545304334,3096.30096336695,2923.57163335841,2623.71073617883,3281.25163208478
"YKL100C",3346.8832203736,3228.99905962034,3175.75150128326,3362.49927804493,3195.0191333843,3226.50707930756
"YKL099C",1579.76791072445,1665.18679323582,1661.65125013534,1736.55103870023,1775.46649113587,1867.01735200653
"YKL098W",2918.52119887388,2861.40621008125,2842.05924203477,2991.50091170275,2996.03559827144,2937.95766571095
"YKL097C",29.2730310819848,34.3791873669651,31.7802151665229,26.1266455170546,24.6165198077763,23.9507418400349
"YKL096C-B",53.6672236503055,46.7204341140808,61.2904149640085,59.2203965053237,62.5669878447648,54.7445527772227
"YKL096W-A",10689.5351834381,9540.66525314521,10818.893248832,45958.5112408668,44442.0494479642,55172.2445957947
"YKL096W",1459.74848328831,1376.93052992819,1458.4848746065,4168.94173633801,3024.75487138052,3720.34856581876
"YKL095W",1117.25401962909,1101.01551336768,1132.73766914964,1192.24592376159,1432.88659047765,1190.69402290459
"YKL094W",9213.19864920335,8690.00074521902,8752.04425532351,6833.85957907758,8799.38014295471,6844.20960866903
"YKL093W",1144.57551530561,1117.76434823876,1164.51788431616,2718.91291014148,2528.32172192369,2525.0924968494
"YKL092C",1285.08606449913,1301.12001419591,1400.59948269605,1548.43919097744,1502.63339659968,1635.49351421953
"YKL091C",1727.1088338371,1560.28619588534,1570.85063537385,1502.28211723064,1367.24253765691,1415.37479159445
"YKL090W",1466.57885720744,1390.1532943001,1330.22900625589,1107.76976992311,1211.33791220766,1094.89105554445
"YKL089W",1375.83246085329,1380.45660042737,1434.64971323161,1146.08885001479,1160.05349594146,1169.02430409694
"YKL088W",3003.41298901164,3121.45390939547,2997.55529481382,3089.04038829975,3083.21910592398,2961.90840755099
"YKL087C",1793.46103762294,1657.25313461268,1629.87103496882,2293.04858821349,2455.49785082569,2169.25290379745
"YKL086W",926.003549893452,878.873071919595,818.340540537965,1074.67601893485,1209.28653555701,1013.91473789481
