"GO Term","p-value (adjusted)","k (genes in cluster)","f (genes in category)","Genes in category from cluster"
"aspartate family amino acid metabolic process",2.3340666999382e-16,25,63,"YDL182W/YDR158W/YDR502C/YER052C/YER091C/YGL202W/YGL184C/YGL125W/YGR204W/YHR208W/YIL046W/YIR017C/YIR034C/YJR130C/YJR139C/YKL001C/YKR069W/YLL062C/YLR180W/YLR303W/YNL277W/YNL097C-B/YOL064C/YPR145W/YPR167C"
"DNA integration",9.98463096877465e-13,19,46,"YAR009C/YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"L-arginine biosynthetic process",7.46588347235719e-11,10,12,"YER069W/YHR018C/YJL088W/YJL071W/YJR109C/YMR062C/YOL140W/YOL058W/YOR130C/YOR303W"
"serine family amino acid biosynthetic process",1.60375120145737e-10,13,24,"YAL012W/YDR158W/YER052C/YGR155W/YIL074C/YIL046W/YIR017C/YJR139C/YKL001C/YLR058C/YLR303W/YOR184W/YPR167C"
"non-proteinogenic amino acid metabolic process",4.34242756044787e-10,15,36,"YAL012W/YDL170W/YER069W/YGL184C/YGR155W/YHR018C/YHR112C/YJL088W/YJL071W/YJL060W/YJR130C/YLR303W/YMR062C/YOL140W/YOL058W"
"homoserine metabolic process",2.68153238223001e-09,10,15,"YAL012W/YDR158W/YER052C/YGL184C/YGR155W/YHR112C/YJR130C/YJR139C/YLR303W/YNL277W"
"RNA-templated DNA biosynthetic process",2.78227275643103e-09,20,76,"YAR009C/YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YIL009C-A/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"cysteine metabolic process",6.40568951144303e-09,10,16,"YAL012W/YGL184C/YGR155W/YHR112C/YIL046W/YIR017C/YJR130C/YKL001C/YLR303W/YPR167C"
"arginine metabolic process",1.44496606246426e-08,10,17,"YER069W/YHR018C/YJL088W/YJL071W/YJR109C/YMR062C/YOL140W/YOL058W/YOR130C/YOR303W"
"sulfate assimilation",2.01110499809888e-08,8,10,"YBR213W/YFR030W/YJR010W/YJR137C/YKL001C/YKR069W/YOL064C/YPR167C"
"aromatic amino acid family biosynthetic process",6.01426580107084e-08,11,24,"YBR248C/YCL030C/YDR354W/YER055C/YFR025C/YGL202W/YGL026C/YGR204W/YIL116W/YKL211C/YOR202W"
