"","SRR1166442_Aligned.sortedByCoord.out.bam","SRR1166443_Aligned.sortedByCoord.out.bam","SRR1166444_Aligned.sortedByCoord.out.bam","SRR1166445_Aligned.sortedByCoord.out.bam","SRR1166446_Aligned.sortedByCoord.out.bam","SRR1166447_Aligned.sortedByCoord.out.bam"
"YER053C",6.89883981055981,6.77787637020993,6.67267873533042,6.3905325099851,6.50355071743197,6.27306226104478
"YER053C-A",4.00792293551903,3.8689516181279,4.3028414017856,6.98008332711806,6.46182709127082,7.23814874935279
"YER054C",4.48778594836111,4.46096670758116,4.37662254311707,6.69976507968034,6.65876396530252,6.46919911941139
"YER055C",9.8072870040686,9.85160502520857,9.76785679532481,8.16873236977634,8.18669682197454,8.24498017531148
"YER056C",8.44274109382017,8.73909914326262,8.87695948630709,9.28535612722103,9.20172380215901,9.32869341991801
"YER056C-A",9.57021152687066,9.67243358766916,9.66403739576089,10.2028520485064,10.1147315414682,10.2357022793138
"YER057C",9.07410890413688,9.08995011894309,9.12166652741709,9.43501274879504,9.32010546559158,9.39001325655451
"YER058W",6.28584364550871,6.20965585200165,6.33751359338326,6.84305344191858,6.73105645589068,6.66541866388393
"YER059W",5.95302659911672,5.85279785727154,5.87859831436377,5.86196743665076,5.8289741998635,5.77240150779638
"YER060W",4.88464487778457,4.97952197808871,4.96276884610642,3.99583927255555,4.10443839431817,4.15185421505657
"YER060W-A",5.3329496293557,5.35766715362164,5.17412219485962,3.26265055247268,3.50583479994969,3.42079443547019
"YER061C",6.03608918887024,6.05313120525227,6.0123948958415,5.20316388159463,5.29080668408234,5.20642967055185
"YER062C",8.70159683328621,8.91694468723735,9.15861490442603,9.77045239840119,9.60908254705578,9.80708337827989
"YER063W",7.98415287126824,7.97086141294969,7.96306832942538,8.24121971789188,8.14991937303888,8.15197271346968
"YER064C",5.87988834308919,5.98365902996455,6.03235445401661,6.89859094301178,6.95317186008052,6.83994340833227
"YER065C",5.90212587710143,5.86554056120344,5.87355396183749,6.26836113483914,6.1423920787522,6.20452459644383
"YNCE0015C",3.63320834655406,3.4971018042131,3.83168663243129,4.29244816441948,4.22576048810166,4.04095870093798
"YER066W",5.67002294966797,5.532047985291,5.55648260081804,5.66771949040937,5.845188848159,5.56921304298583
"YER067W",7.51021572139715,7.22169552631626,6.88101971794145,9.32750229019979,9.38657056976233,9.14737608408492
"YER068W",5.95664063889065,5.97666962210469,5.95700616670352,5.87247836516014,5.81192434046428,5.80181224602868
"YER069W",8.70287581431063,8.71208308699532,8.69899458309066,6.6339841976213,6.76472814630487,6.63571914615616
"YER070W",7.32553972082116,7.39846222547398,7.37139351290904,7.38363068599088,7.14237963141519,7.53152333768996
"YER071C",6.6289734666805,6.65347243627826,6.62226299839883,6.80789771163407,7.00484836243336,6.85725654566944
"YER072W",8.63554120506213,8.56003702497569,8.56161770757018,8.48954108259626,8.50097667948256,8.53465075518217
"YER073W",8.64709018064434,8.69702149589843,8.60124972375092,7.4717456621562,7.66009704620001,7.66198317217961
"YER074W",10.1081184640226,10.2029289477018,10.1049758070043,10.6452929234591,10.5322689342582,10.6680864058348
"YER074W-A",8.19098817342615,8.09833593064393,8.11124542499252,8.31969644485721,8.30418193039556,8.28724986487526
"YER075C",4.87297960337926,4.87262012158615,5.02844264177614,5.45400022182144,5.49626010819282,5.40626806125289
"YNCE0016C",2.84811574430206,2.12302335486783,2.85517184217323,6.04314497405957,6.23169081419872,5.96643884854219
"YER076C",5.52716239156986,5.50210182727336,5.44772516803126,5.3277416077767,5.40575760963203,5.46062616693817
"YER077C",4.82348481858762,4.84737825248672,4.83863722277235,5.12324320770233,5.09715153178485,5.11827328238722
"YER078C",5.75606619162709,5.77295905828102,5.71861188740723,5.53757064788867,5.58285008482972,5.53445620248202
"YER078W-A",2.73757246448973,2.82866908229182,2.96183959638629,2.67283386681623,2.43315716394675,2.64816730571478
"YER079W",7.40693061046657,7.34372777210185,7.23388225847775,7.89502954110005,8.02489567149826,7.84517880464037
"YER080W",6.39287817298567,6.34297912977758,6.23723708128639,6.34627939910175,6.52372710229504,6.27328506959207
"YNCE0017W",7.92942953986482,7.76314198474396,7.72656438900795,8.18647930568643,8.45976288503676,8.19805832943719
"YER081W",7.76358228345017,7.66119939219291,7.54103617848111,7.8642959537337,8.04587946594771,7.85446796135607
"YER082C",5.52984893073833,5.69706790689295,5.73162753878762,5.9047669240206,5.89140378368305,6.02341491082658
"YER083C",7.07831072851149,6.98383284971301,7.05248247951042,6.95322885223489,6.85343017435786,6.95345658192818
"YER084W",5.17969325044627,5.33592936547783,5.33485955901504,6.38912392247895,6.39202457565631,6.39749544704658
"YER085C",3.938906293288,3.8689516181279,3.76675117950985,5.3758735743567,5.64027494914802,5.31432771975713
"YER086W",7.95828014595472,8.05372192171605,8.01739828196176,7.13164487202153,7.11169759704294,7.16431432072317
"YER087W",4.47351079996439,4.5226001615126,4.47119408596048,4.54489882068255,4.58696508568319,4.46278714252522
"YER087C-B",9.02956386749713,8.93889121950713,8.97818433761565,9.28582078006907,9.16796268315108,9.30755260340083
"YER088C",6.96633584966793,6.93059953821415,7.00063183733976,6.47940821862648,6.49498085664701,6.52858086846112
"YER089C",6.22760913509628,6.22459269988704,6.13144859183543,6.08904393131501,5.93747174029814,6.07622863659057
"YER090W",7.66467783575851,7.65245002100826,7.60133013656665,6.87472471713647,6.83872489694039,6.93076796848761
"YER091C",11.4065763807766,11.4300071284365,11.2563798397487,7.96606176840384,7.81528294905531,7.83707966644477
"YER092W",8.56666571145092,8.48863785154287,8.39221887485907,7.09705267317542,6.95554468780433,6.91741631397819
"YER093C",4.10039144563473,4.06177614369313,4.01902153751299,3.50735481449901,3.56751798903226,3.60441064754958
"YER093C-A",5.47857947448098,5.47450514284614,5.38142026480289,6.01834764912538,5.99418229538157,5.92500523950371
"YER094C",8.40428102673403,8.33356195005005,8.36424325929692,8.52412306210702,8.54501896170243,8.47460260613528
"YER095W",6.00983508087513,6.05496009009311,6.05133768137114,7.05860011008874,6.9825942962664,6.98469272638106
"YER096W",4.79516864862929,4.5983619145333,4.64673779700425,5.26160054701128,5.14653282032757,5.12969235765414
"YNCE0018W",0.878315975356311,0.462653883937078,0,0.823843388374428,0,0.587929567706757
"YER098W",4.3606871940413,4.38143227216634,4.36804844495459,4.35401116196752,4.43813648861403,4.3850376750794
"YER099C",6.66164338478281,6.72388777244348,6.70097242916978,6.79289005867044,6.82876009443663,6.74476167823836
"YER100W",7.83632766318527,7.79339983134861,7.78033877301047,7.91827831494583,8.10532599617602,7.9348412352006
"YER101C",5.04220299991921,5.01089003484346,4.95954421037153,5.56876854780476,5.62264636762404,5.4831755238594
"YER102W",8.37585512828955,8.55322077122551,8.49137323532974,8.70501739846629,8.70840807306325,8.77125699933044
"YER103W",7.05595509035794,7.00830103602343,6.98040486124766,7.07381823745212,7.25438441404935,6.90162622801339
"YER104W",5.47909846055481,5.58552503238529,5.44111157239257,5.41605511490732,5.49377678400971,5.36487122574123
